ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008804,M,Y,Y,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2
5008805,M,Y,Y,0,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,,2
5008806,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,2
5008808,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1
5008809,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1
5008810,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1
5008811,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1
5008812,F,N,Y,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1
5008813,F,N,Y,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1
5008814,F,N,Y,0,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,,1
5008815,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2
5112956,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2
6153651,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2
5008819,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2
5008820,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2
5008821,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2
5008822,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2
5008823,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2
5008824,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2
5008825,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2
5008826,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2
5008830,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2
5008831,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2
5008832,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2
5008834,F,N,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2
5008835,F,N,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2
6153712,F,N,Y,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2
5008836,M,Y,Y,3,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5
5008837,M,Y,Y,3,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5
5008838,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3
